cid,text,time,author,channel,votes,photo,heart
UgyzyCa0sdzwq17lPAl4AaABAg,Akhirnya sekian lama nunggu ni video rilis alhamdulillah dah kebeli aja ni kopi kapal api nya❤,1 jam yang lalu,@BocilWindahGT
Ugz_S0O8kU-YU2At15J4AaABAg,"Menurut ane IQOO 11 bisa jadi pertimbangan di range harga 8-10 jt bang, fast charging sama layar LTPO Amoled nya terutama 👍",2 jam yang lalu,@rasyidniyazi7648
UgwaC3a1T6bRRq3vq2l4AaABAg,"Msh setia dgn Oppo Reno 6 yg lahir 2021 msh ok lumayan enak smpi skrng 2023. Kamera mantap, super charger cukup lah utk smtra 😊😉😆",39 menit yang lalu,@nopemborneo708
UgxKo1-NF_wXve8U05t4AaABAg,Percayalah Video David tentang rekomendasi hp terbaik untuk tahun 2023 ini bakalan trending 1 Youtube!!! Semangat David GadgetIn & Team yang bertugas. Kalian semua luar biasa ✺◟( ͡° ͜ʖ ͡°)◞✺,2 jam yang lalu,@eunlightemperor6618
UgxyROwyjvrWJrnMGu94AaABAg,"Diupdate lagi bang harga-harganya, udah banyak yg turun. Versi ane menurut harga yg terbaru saat ini.
0-1,5 juta: poco M5
1,5-2 juta: infinix note 30
2-3 juta: iqoo Z7x
3-4 juta: infinix GT 10 pro
4-5 juta: poco F5
5-6 juta: samsung A54
6-8 juta: xiaomi 13T
8-10 juta: asus zenfone 10
10-12 juta: iphone 13
Unlimited: samsung Z fold 5",31 menit yang lalu (diedit),@lintangramadhan1984
Ugx9TCIDF8891QE_eKt4AaABAg,"1 hal kelebihan david yaitu JUJUR apa adanya bagus bagus jelek jelek sebuah hp , itu yg di yakinin penonton sebelum membeli hp tsb",2 jam yang lalu (diedit),@airosmawati6284
UgzTEl_f3kH1rduHpfN4AaABAg,"Akhirnya poco m4 pro yg gw pegang, istirahat dari juara bertahan kelas 3-4jt setelah 2x masuk rekomendasi di harga tsb.",1 jam yang lalu,@rizkiadrian3050
UgwLZFb4GUEx3WupW-B4AaABAg,"Alhamdulillah bisa beli samsung s23 FE, walaupun memang bener gampang panas, tapi overall nyaman banget dipake ✨️",21 menit yang lalu,@agitbagus2747
UgzTYrHXJGgLJ7A_PHt4AaABAg,"Infinix note 30 & tecno pova 5 bisa dimasukin ke under 2jt sih ini. Ada beberapa yang jual dibawah 2jt soalnya 😅 lalu realme 10 Pro 5G kemarin dijual di official store lazada 2,5jt an wah 1212 lazada gokil parah sih",1 jam yang lalu (diedit),@andaruqurano1815
UgwrLEWXzO7GG-WK6kR4AaABAg,"Penonton setia hadirr, bangga bet selalu ngikutin gadjet in soalnya reviewnya jujur gk bohong 💫",19 menit yang lalu,@joan_0901
